tracking_tier,title,venue,topic,arxiv,doi,paper_url,code_url,formal_class,decision,published_at,directions
Canonical,Accelerating LLM Inference Throughput via Asynchronous KV Cache Prefetching,AAAI 2026,LLM inference / KV cache prefetch / GPU memory hierarchy,,10.1609/aaai.v40i25.39224,https://doi.org/10.1609/aaai.v40i25.39224,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,LLM Serving; KV Cache / Long Context; GPU Kernel / DSL / Compiler; Edge / Cloud / Heterogeneous AI
Canonical,AccKV: Towards Efficient Audio-Video LLMs Inference via Adaptive-Focusing and Cross-Calibration KV Cache Optimization,AAAI 2026,audio-video LLM / multimodal KV cache optimization,,10.1609/aaai.v40i7.37467,https://doi.org/10.1609/aaai.v40i7.37467,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Multimodal / MLLM Serving
Canonical,DIAA: A Decoding-Efficient Inference Acceleration Approach for On-Device Large Language Models,AAAI 2026,on-device LLM / speculative decoding / edge inference,,10.1609/aaai.v40i31.39789,https://doi.org/10.1609/aaai.v40i31.39789,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding; Edge / Cloud / Heterogeneous AI
Canonical,Efficient Multimodal Large Language Model via Dynamic KV Cache Quantization,AAAI 2026,MLLM inference / KV cache quantization,,10.1609/aaai.v40i25.39241,https://doi.org/10.1609/aaai.v40i25.39241,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Quantization; Multimodal / MLLM Serving
Canonical,FlashSVD: Memory-Efficient Inference with Streaming for Low-Rank Models,AAAI 2026,sparsity/pruning / GPU kernels,,10.1609/aaai.v40i30.39720,https://ojs.aaai.org/index.php/AAAI/article/view/39720,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Sparsity / Pruning; Efficient Attention; GPU Kernel / DSL / Compiler
Canonical,HALO: Hardware-Aware Quantization with Low Critical-Path-Delay Weights for LLM Acceleration,AAAI 2026,quantization / hardware-aware inference,,10.1609/aaai.v40i27.39406,https://ojs.aaai.org/index.php/AAAI/article/view/39406,https://github.com/ecolab-nus/HALO,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Quantization
Canonical,Head-Aware KV Cache Compression for Efficient Visual Autoregressive Modeling,AAAI 2026,KV cache / image generation acceleration,,10.1609/aaai.v40i30.39686,https://ojs.aaai.org/index.php/AAAI/article/view/39686,https://github.com/Zr2223/HACK,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Video / Image Generation
Canonical,HitKV: Activation Frequency Knows Which Tokens Are Important,AAAI 2026,KV cache/long-context,,10.1609/aaai.v40i34.40105,https://ojs.aaai.org/index.php/AAAI/article/view/40105,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,LLM Serving; KV Cache / Long Context
Canonical,KeepKV: Achieving Periodic Lossless KV Cache Compression for Efficient LLM Inference,AAAI 2026,KV cache compression / inference throughput,,10.1609/aaai.v40i39.40611,https://doi.org/10.1609/aaai.v40i39.40611,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,LLM Serving; KV Cache / Long Context
Canonical,KVmix: Gradient-Based Layer Importance-Aware Mixed-Precision Quantization for KV Cache,AAAI 2026,KV cache quantization / mixed precision,,10.1609/aaai.v40i37.40422,https://doi.org/10.1609/aaai.v40i37.40422,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Quantization
Canonical,MHA2MLA-VLM: Enabling DeepSeek’s Economical Multi-Head Latent Attention Across Vision-Language Models,AAAI 2026,VLM inference / MLA / KV cache compression,,10.1609/aaai.v40i36.40319,https://doi.org/10.1609/aaai.v40i36.40319,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Efficient Attention; Multimodal / MLLM Serving
Canonical,Q Cache: Visual Attention Is Valuable in Less than Half of Decode Layers for Multimodal Large Language Model,AAAI 2026,MLLM inference / cross-layer attention reuse / KV cache,,10.1609/aaai.v40i16.38414,https://doi.org/10.1609/aaai.v40i16.38414,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,LLM Serving; KV Cache / Long Context; Efficient Attention; Multimodal / MLLM Serving
Canonical,Scaling LLM Speculative Decoding: Non-Autoregressive Forecasting in Large-Batch Scenarios,AAAI 2026,speculative decoding / large-batch inference / non-autoregressive drafting,2511.20340,10.1609/aaai.v40i39.40576,https://arxiv.org/abs/2511.20340,https://github.com/ShiLuohe/SpecFormer,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding
Canonical,Self-Indexing KVCache: Predicting Sparse Attention from Compressed Keys,AAAI 2026,KV cache compression / sparse attention / CUDA kernel,,10.1609/aaai.v40i33.39988,https://doi.org/10.1609/aaai.v40i33.39988,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Sparsity / Pruning; Efficient Attention; GPU Kernel / DSL / Compiler
Canonical,SlimInfer: Accelerating Long-Context LLM Inference via Dynamic Token Pruning,AAAI 2026,long-context LLM inference / token pruning / asynchronous KV manager,2508.06447,10.1609/aaai.v40i38.40502,https://arxiv.org/abs/2508.06447,https://github.com/Longxmas/SlimInfer,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Sparsity / Pruning
Canonical,SMIDT: High-Performance Inference Framework for MoE Models with Dynamic Top-K Routing,AAAI 2026,MoE systems/accelerators / LLM serving,,10.1609/aaai.v40i27.39403,https://ojs.aaai.org/index.php/AAAI/article/view/39403,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,LLM Serving; MoE Systems / Accelerators
Canonical,Sparse Attention Across Multiple-Context KV Cache,AAAI 2026,RAG / sparse attention / multi-context KV cache,,10.1609/aaai.v40i36.40266,https://doi.org/10.1609/aaai.v40i36.40266,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; Sparsity / Pruning; Efficient Attention
Canonical,Steering Pretrained Drafters During Speculative Decoding,AAAI 2026,speculative decoding / drafter-verifier alignment,2511.09844,10.1609/aaai.v40i36.40255,https://arxiv.org/abs/2511.09844,https://github.com/ETH-DISCO/SD-square,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding
Canonical,Talon: Breaking the Synchronization Barrier in Speculative Decoding with Hybrid Model-based and Retrieve-based Drafting,AAAI 2026,speculative decoding / asynchronous draft-verify pipeline / hybrid model-retrieval drafting,,10.1609/aaai.v40i25.39266,https://ojs.aaai.org/index.php/AAAI/article/view/39266,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding
Canonical,TimeBill: Time-Budgeted Inference for Large Language Models,AAAI 2026,LLM inference / time budget / adaptive KV eviction,,10.1609/aaai.v40i36.40317,https://doi.org/10.1609/aaai.v40i36.40317,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Edge / Cloud / Heterogeneous AI
Canonical,TokenPowerBench: Benchmarking the Power Consumption of LLM Inference,AAAI 2026,LLM serving / energy benchmarking,,10.1609/aaai.v40i38.40535,https://ojs.aaai.org/index.php/AAAI/article/view/40535,https://github.com/chenxuniu/TokenPowerBench,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,LLM Serving
Canonical,AdapShot: Adaptive Many-Shot In-Context Learning with Semantic-Aware KV Cache Reuse,ACL 2026,KV reuse / efficient in-context learning,,10.18653/v1/2026.acl-long.1990,https://doi.org/10.18653/v1/2026.acl-long.1990,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context
Canonical,BTC-LLM: Efficient Sub-1-Bit LLM Quantization via Learnable Transformation and Binary Codebook,ACL 2026,quantization / efficient LLM inference,,10.18653/v1/2026.acl-long.1066,https://doi.org/10.18653/v1/2026.acl-long.1066,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Quantization
Canonical,Calibrated Speculative Decoding: Frequency-Guided Candidate Selection for Efficient Inference,ACL 2026,speculative decoding / training-free inference acceleration,,10.18653/v1/2026.acl-long.1369,https://doi.org/10.18653/v1/2026.acl-long.1369,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding
Canonical,ConfSpec: Efficient Step-Level Speculative Reasoning via Confidence-Gated Verification,ACL 2026,efficient reasoning / step-level speculative verification,,10.18653/v1/2026.acl-long.1221,https://aclanthology.org/2026.acl-long.1221/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding; Efficient Reasoning / Agents
Canonical,ContrastKV: Robust KV Cache Eviction via Contrastive Signal Fusion for Multi-Query Generalization,ACL 2026,KV-cache eviction / long-context multi-query inference,,10.18653/v1/2026.acl-long.417,https://aclanthology.org/2026.acl-long.417/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,KV Cache / Long Context; GPU Kernel / DSL / Compiler
Canonical,EDSD: Entropy-Driven Design for Faster Speculative Decoding,ACL 2026,speculative decoding / entropy-guided draft design,,10.18653/v1/2026.acl-long.2145,https://aclanthology.org/2026.acl-long.2145/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,,Speculative Decoding
