title,venue,topic,arxiv,doi,paper_url,code_url,formal_class,decision,directions
Accelerating LLM Inference Throughput via Asynchronous KV Cache Prefetching,AAAI 2026,LLM inference / KV cache prefetch / GPU memory hierarchy,,10.1609/aaai.v40i25.39224,https://doi.org/10.1609/aaai.v40i25.39224,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; KV Cache / Long Context; GPU Kernel / DSL / Compiler; Edge / Cloud / Heterogeneous AI
AccKV: Towards Efficient Audio-Video LLMs Inference via Adaptive-Focusing and Cross-Calibration KV Cache Optimization,AAAI 2026,audio-video LLM / multimodal KV cache optimization,,10.1609/aaai.v40i7.37467,https://doi.org/10.1609/aaai.v40i7.37467,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Multimodal / MLLM Serving
DIAA: A Decoding-Efficient Inference Acceleration Approach for On-Device Large Language Models,AAAI 2026,on-device LLM / speculative decoding / edge inference,,10.1609/aaai.v40i31.39789,https://doi.org/10.1609/aaai.v40i31.39789,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding; Edge / Cloud / Heterogeneous AI
Efficient Multimodal Large Language Model via Dynamic KV Cache Quantization,AAAI 2026,MLLM inference / KV cache quantization,,10.1609/aaai.v40i25.39241,https://doi.org/10.1609/aaai.v40i25.39241,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Quantization; Multimodal / MLLM Serving
KeepKV: Achieving Periodic Lossless KV Cache Compression for Efficient LLM Inference,AAAI 2026,KV cache compression / inference throughput,,10.1609/aaai.v40i39.40611,https://doi.org/10.1609/aaai.v40i39.40611,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; KV Cache / Long Context
KVmix: Gradient-Based Layer Importance-Aware Mixed-Precision Quantization for KV Cache,AAAI 2026,KV cache quantization / mixed precision,,10.1609/aaai.v40i37.40422,https://doi.org/10.1609/aaai.v40i37.40422,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Quantization
MHA2MLA-VLM: Enabling DeepSeek’s Economical Multi-Head Latent Attention Across Vision-Language Models,AAAI 2026,VLM inference / MLA / KV cache compression,,10.1609/aaai.v40i36.40319,https://doi.org/10.1609/aaai.v40i36.40319,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Efficient Attention; Multimodal / MLLM Serving
Q Cache: Visual Attention Is Valuable in Less than Half of Decode Layers for Multimodal Large Language Model,AAAI 2026,MLLM inference / cross-layer attention reuse / KV cache,,10.1609/aaai.v40i16.38414,https://doi.org/10.1609/aaai.v40i16.38414,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; KV Cache / Long Context; Efficient Attention; Multimodal / MLLM Serving
Scaling LLM Speculative Decoding: Non-Autoregressive Forecasting in Large-Batch Scenarios,AAAI 2026,speculative decoding / large-batch inference / non-autoregressive drafting,2511.20340,10.1609/aaai.v40i39.40576,https://arxiv.org/abs/2511.20340,https://github.com/ShiLuohe/SpecFormer,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
Self-Indexing KVCache: Predicting Sparse Attention from Compressed Keys,AAAI 2026,KV cache compression / sparse attention / CUDA kernel,,10.1609/aaai.v40i33.39988,https://doi.org/10.1609/aaai.v40i33.39988,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Sparsity / Pruning; Efficient Attention; GPU Kernel / DSL / Compiler
SlimInfer: Accelerating Long-Context LLM Inference via Dynamic Token Pruning,AAAI 2026,long-context LLM inference / token pruning / asynchronous KV manager,2508.06447,10.1609/aaai.v40i38.40502,https://arxiv.org/abs/2508.06447,https://github.com/Longxmas/SlimInfer,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Sparsity / Pruning
Sparse Attention Across Multiple-Context KV Cache,AAAI 2026,RAG / sparse attention / multi-context KV cache,,10.1609/aaai.v40i36.40266,https://doi.org/10.1609/aaai.v40i36.40266,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Sparsity / Pruning; Efficient Attention
Steering Pretrained Drafters During Speculative Decoding,AAAI 2026,speculative decoding / drafter-verifier alignment,2511.09844,10.1609/aaai.v40i36.40255,https://arxiv.org/abs/2511.09844,https://github.com/ETH-DISCO/SD-square,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
TimeBill: Time-Budgeted Inference for Large Language Models,AAAI 2026,LLM inference / time budget / adaptive KV eviction,,10.1609/aaai.v40i36.40317,https://doi.org/10.1609/aaai.v40i36.40317,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Edge / Cloud / Heterogeneous AI
Calibrated Speculative Decoding: Frequency-Guided Candidate Selection for Efficient Inference,ACL 2026,speculative decoding / training-free inference acceleration,,10.18653/v1/2026.acl-long.1369,https://doi.org/10.18653/v1/2026.acl-long.1369,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
ConfSpec: Efficient Step-Level Speculative Reasoning via Confidence-Gated Verification,ACL 2026,efficient reasoning / step-level speculative verification,,10.18653/v1/2026.acl-long.1221,https://aclanthology.org/2026.acl-long.1221/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding; Efficient Reasoning / Agents
ContrastKV: Robust KV Cache Eviction via Contrastive Signal Fusion for Multi-Query Generalization,ACL 2026,KV-cache eviction / long-context multi-query inference,,10.18653/v1/2026.acl-long.417,https://aclanthology.org/2026.acl-long.417/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; GPU Kernel / DSL / Compiler
EDSD: Entropy-Driven Design for Faster Speculative Decoding,ACL 2026,speculative decoding / entropy-guided draft design,,10.18653/v1/2026.acl-long.2145,https://aclanthology.org/2026.acl-long.2145/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
EfficientLLM: Unified Pruning-Aware Pretraining for Auto-Designed Compact Language Models,ACL 2026,pruning / compact edge LLM,,10.18653/v1/2026.acl-long.355,https://doi.org/10.18653/v1/2026.acl-long.355,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Sparsity / Pruning; Edge / Cloud / Heterogeneous AI
Evolving Sparsity: Leveraging Token Importance Dynamics for Efficient LLM Decoding with Sparse Attention,ACL 2026,sparse attention / long-context decoding,,10.18653/v1/2026.acl-long.530,https://doi.org/10.18653/v1/2026.acl-long.530,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Sparsity / Pruning; Efficient Attention
HCSpec: Two-Tier Horizontal Cascade Speculative Decoding for High-Efficiency Large Language Model Inference,ACL 2026,speculative decoding / cascade verification,,10.18653/v1/2026.acl-long.353,https://doi.org/10.18653/v1/2026.acl-long.353,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
HeteroSpec: Leveraging Contextual Heterogeneity for Efficient Speculative Decoding,ACL 2026,speculative decoding / adaptive verification,,10.18653/v1/2026.acl-long.589,https://doi.org/10.18653/v1/2026.acl-long.589,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
HybridKV: Hybrid KV Cache Compression for Efficient Multimodal Large Language Model Inference,ACL 2026,multimodal KV-cache compression / efficient MLLM inference,,10.18653/v1/2026.acl-long.594,https://aclanthology.org/2026.acl-long.594/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Multimodal / MLLM Serving
Jakiro: Boosting Speculative Decoding via Decoupled MoE,ACL 2026,speculative decoding / MoE draft model,,10.18653/v1/2026.acl-long.487,https://doi.org/10.18653/v1/2026.acl-long.487,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding; MoE Systems / Accelerators
LongSpec: Long-Context Lossless Speculative Decoding with Efficient Drafting and Verification,ACL 2026,speculative decoding / long-context inference,,10.18653/v1/2026.acl-long.83,https://doi.org/10.18653/v1/2026.acl-long.83,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding; KV Cache / Long Context
SpecCache: Speculative KV Cache Reuse for Efficient RAG Serving,ACL 2026,RAG serving / KV cache reuse,,10.18653/v1/2026.acl-long.859,https://doi.org/10.18653/v1/2026.acl-long.859,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; KV Cache / Long Context
UniSpec: Training-Free Speculative Decoding for Robust LLM Acceleration Across Languages and Hardware,ACL 2026,speculative decoding / hardware-aware calibration,,10.18653/v1/2026.acl-long.285,https://doi.org/10.18653/v1/2026.acl-long.285,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding
VecInfer: Efficient LLM Inference with Low-Bit KV Cache via Outlier-Suppressed Vector Quantization,ACL 2026,KV-cache quantization / low-bit LLM inference / CUDA kernel,,10.18653/v1/2026.acl-long.1454,https://aclanthology.org/2026.acl-long.1454/,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,KV Cache / Long Context; Quantization; Efficient Attention; GPU Kernel / DSL / Compiler
AB-Cache: Training-Free Acceleration of Diffusion Models via Adams-Bashforth Cached Feature Reuse,ACM Multimedia 2025,diffusion caching / generative inference acceleration,2504.10540,10.1145/3746027.3755650,https://arxiv.org/abs/2504.10540,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
Accelerating Diffusion Transformer via Error-Optimized Cache,ACM Multimedia 2025,diffusion transformer inference / feature caching,2501.19243,,https://arxiv.org/abs/2501.19243,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
Compute Only 16 Tokens in One Timestep: Accelerating Diffusion Transformers with Cluster-Driven Feature Caching,ACM Multimedia 2025,diffusion token/feature caching,2509.10312,,https://arxiv.org/abs/2509.10312,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,GPU Kernel / DSL / Compiler; Distributed Training / Inference; Diffusion / Flow Acceleration
DilateQuant: Accurate and Efficient Quantization-Aware Training for Diffusion Models via Weight Dilation,ACM Multimedia 2025,diffusion quantization / efficient inference,2409.14307,10.1145/3746027.3755472,https://arxiv.org/abs/2409.14307,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Quantization; GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
Maximum Redundancy Pruning: A Principle-Driven Layerwise Sparsity Allocation for LLMs,ACM Multimedia 2025,LLM pruning / sparsity allocation,2503.18377,,https://arxiv.org/abs/2503.18377,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Sparsity / Pruning
Single Trajectory Distillation for Accelerating Image and Video Style Transfer,ACM Multimedia 2025,diffusion/style-transfer acceleration / trajectory distillation,2412.18945,10.1145/3746027.3754900,https://arxiv.org/abs/2412.18945,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
SpeCa: Accelerating Diffusion Transformers with Speculative Feature Caching,ACM Multimedia 2025,diffusion speculative caching,2509.11628,10.1145/3746027.3755331,https://arxiv.org/abs/2509.11628,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Speculative Decoding; GPU Kernel / DSL / Compiler; Diffusion / Flow Acceleration
VISA: Group-wise Visual Token Selection and Aggregation via Graph Summarization for Efficient MLLMs Inference,ACM Multimedia 2025,MLLM inference / visual token pruning and aggregation,2508.17857,10.1145/3746027.3755792,https://arxiv.org/abs/2508.17857,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Sparsity / Pruning; Multimodal / MLLM Serving
BAT: Efficient Generative Recommender Serving with Bipartite Attention,ASPLOS 2026,generative recommender serving / KV prefix cache,,10.1145/3779212.3790131,https://doi.org/10.1145/3779212.3790131,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; KV Cache / Long Context; Efficient Attention
BlendServe: Optimizing Offline Inference for Auto-regressive Large Models with Resource-aware Batching,ASPLOS 2026,LLM serving / offline batching / prefix sharing,2411.16102,,https://arxiv.org/abs/2411.16102,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving
Bullet: Boosting GPU Utilization for LLM Serving via Dynamic Spatial-Temporal Orchestration,ASPLOS 2026,LLM serving / GPU utilization / scheduling,2504.19516,10.1145/3779212.3790135,https://arxiv.org/abs/2504.19516,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; GPU Kernel / DSL / Compiler
DFVG,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
EARTH,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
I/O Analysis is All You Need: An I/O Analysis for Long-Sequence Attention,ASPLOS 2026,attention accelerator / I/O analysis,,10.1145/3779212.3790174,https://doi.org/10.1145/3779212.3790174,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Efficient Attention
LAER-MoE: Load-Adaptive Expert Re-layout for Efficient Mixture-of-Experts Training,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,2602.11686,,https://arxiv.org/abs/2602.11686,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
MoDM,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
MoE-APEX: An Efficient MoE Inference System with Adaptive Precision Expert Offloading,ASPLOS 2026,edge MoE inference / expert offloading / mixed precision,,10.1145/3779212.3790187,https://doi.org/10.1145/3779212.3790187,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; KV Cache / Long Context; MoE Systems / Accelerators; Edge / Cloud / Heterogeneous AI
Mugi: Value Level Parallelism For Efficient LLMs,ASPLOS 2026,LLM accelerator / value-level parallelism / low precision,2601.10823,,https://arxiv.org/abs/2601.10823,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Quantization; GPU Kernel / DSL / Compiler; Distributed Training / Inference
oFFN,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; MoE Systems / Accelerators
Ouroboros: Wafer-Scale SRAM CIM with Token-Grained Pipelining for Large Language Model Inference,ASPLOS 2026,LLM accelerator / wafer-scale CIM,2603.02737,10.1145/3779212.3790197,https://arxiv.org/abs/2603.02737,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Distributed Training / Inference
PAT: Accelerating LLM Decoding via Prefix-Aware Attention with Resource Efficient Multi-Tile Kernel,ASPLOS 2026,serving + speculative decoding + MoE + generative efficiency,2511.22333,10.1145/3779212.3790200,https://arxiv.org/abs/2511.22333,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,LLM Serving; Speculative Decoding; Efficient Attention; MoE Systems / Accelerators; GPU Kernel / DSL / Compiler
PF-LLM: Large Language Model Hinted Hardware Prefetching,ASPLOS 2026,LLM inference / hardware prefetching,,,,,CANONICAL_HIGH_VALUE,BACKFILL_HIGH,Edge / Cloud / Heterogeneous AI
